时间,商品名称,库存变化,单笔销量
2026-07-22 21:47:42,beatroad,1644,0
2026-07-22 22:07:10,beatroad,1644 -> 1620,24
2026-07-23 08:07:07,beatroad,1620 -> 1608,12
2026-07-23 08:55:09,beatroad,1608 -> 1550,58
2026-07-23 10:59:10,beatroad,1550 -> 1549,1
2026-07-23 13:02:11,beatroad,1549 -> 1548,1
2026-07-23 15:13:14,beatroad,1548 -> 1536,12
2026-07-23 18:47:08,beatroad,1536 -> 1535,1
2026-07-23 19:26:11,beatroad,1535 -> 1530,5
2026-07-24 09:42:32,beatroad,1530 -> 1529,1
2026-07-24 12:18:35,beatroad,1529 -> 1520,9
2026-07-24 13:34:13,beatroad,1520 -> 1514,6
2026-07-24 13:57:00,beatroad,1514 -> 1466,48
2026-07-24 17:13:10,beatroad,1466 -> 1460,6
2026-07-24 17:16:49,beatroad,1460 -> 1454,6
2026-07-24 17:48:57,beatroad,1454 -> 1396,58
2026-07-24 18:07:25,beatroad,1396 -> 1339,57
2026-07-24 18:09:50,beatroad,1339 -> 1282,57
2026-07-24 18:23:11,beatroad,1282 -> 1228,54
2026-07-24 18:52:07,beatroad,1228 -> 1174,54
2026-07-24 18:58:42,beatroad,1174 -> 1167,7
2026-07-24 19:03:55,beatroad,1167 -> 1153,14
2026-07-24 19:22:27,beatroad,1153 -> 990,163
2026-07-24 19:30:15,beatroad,990 -> 978,12
2026-07-24 19:31:17,beatroad,978 -> 948,30
2026-07-24 20:09:28,beatroad,948 -> 942,6
2026-07-24 20:35:41,beatroad,942 -> 935,7
2026-07-24 20:38:06,beatroad,935 -> 928,7
2026-07-24 21:02:30,beatroad,928 -> 918,10
2026-07-24 21:04:35,beatroad,918 -> 870,48
2026-07-24 21:13:48,beatroad,870 -> 822,48
2026-07-24 21:29:44,beatroad,822 -> 798,24
2026-07-24 21:35:49,beatroad,798 -> 738,60
2026-07-24 21:55:42,beatroad,738 -> 688,50
2026-07-24 21:59:10,beatroad,688 -> 638,50
2026-07-24 22:27:43,beatroad,638 -> 604,34
2026-07-24 22:39:13,beatroad,604 -> 576,28
2026-07-24 22:47:46,beatroad,576 -> 538,38
2026-07-24 22:49:41,beatroad,538 -> 506,32
2026-07-24 22:50:33,beatroad,506 -> 496,10
2026-07-24 22:51:47,beatroad,496 -> 465,31
2026-07-24 22:54:02,beatroad,465 -> 411,54
